Project,Call Date,Hold Duration,Enter Called,Exit Called,Real Enter,Real Exit,ROI ,Succes Rate ,Accuracy
ghost kid dao,8.07,weeks,< 5,8+,5,8.2,47.60,1,
gothic ghost,9.07,short mid,3.5-4,8-10,4,3.2,-28.00,0,
cheddar block games,9.07,2-3 week,2.2,4+,2.5,4.2,51.20,1,
saint degen,12.07,days weeks,< 1,2.5+,1,0.25,-77.50,0,
smart sea society,12.07,mid long,< 2,3.5+,1.95,2.9,33.85,1,
primates,13.07,weeks,10-12,25+,13.7,19.5,28.10,1,
sacred dao,13.07,days weeks,< 0.25,0.6+,0.23,0.4,56.52,1,
nobunages,13.07,flip,0.35,-,0.35,0.49,26.00,1,
liberty sqare,13.07,1-3 days,1.5 - 2,3+,2,2.7,21.50,1,
cets on creck,13.07,3-5 weeks,40-45,65+,43.4,32,-33.64,0,
mystic men,15.07,flip,< 2,-,2,2.4,8.00,1,
onigin degens,18.07,days weeks,0.12,-,0.15,0.1,-40.00,0,
vault X,20.07,mid long,< 3,5+,3,4.2,26.00,1,
stritbogsDao,25.07,flip mid,0.14,-,0.14,0.4,157.14,1,
degen pix dao,2.08,flip,0.01,-,0.01,0.01,-10.00,0,
lurkers,18.08,-,0.6,1,0.6,0.23,-65.50,0,
gothic tayo,18.08,-,1.8,2.5,1.5,0.55,-67.00,0,
cets on creck,19.08,weeks,< 27,30+,25,29,4.40,1,
2105 voyagers,20.08,days weeks,0.2,0.5+,0.22,0.2,-18.18,0,
yung money og,25.08,weeks days,4.5,6.5+,4.75,,,,
dust flippers,28.07,flip,0.12,-,0.12,0.04,-70.00,0,